ลำดับ,รหัสสถานศึกษา,ชื่อสถานศึกษา,อาชีวศึกษาจังหวัด,ภาค,ประเภทสถานศึกษา,เลขที่,หมู่,ซอย,ถนน,ตำบล,อำเภอ,จังหวัด,รหัสไปรษณีย์,โทรศัพท์,พิกัดละติจูด,พิกัดลองจิจูด,เว็บไซต์
269,1357116101,วิทยาลัยเทคนิคเวียงป่าเป้า,เชียงราย,ภาคเหนือ,วิทยาลัยเทคนิค,200,6,,เชียงใหม่-เชียงราย,ป่างิ้ว,เวียงป่าเป้า,เชียงราย,57170,53952014,19.2761004,99.5107926,http://www.wpptech.ac.th
270,1358016401,วิทยาลัยการอาชีพนวมินทราชินีแม่ฮ่องสอน,แม่ฮ่องสอน,ภาคเหนือ,วิทยาลัยการอาชีพ,126,,,ขุนลุมประพาส,จองคำ,เมืองแม่ฮ่องสอน,แม่ฮ่องสอน,58000,053-611848,19.28643898,97.96186007,http://www.nawamin.ac.th
271,1358046401,วิทยาลัยการอาชีพแม่สะเรียง,แม่ฮ่องสอน,ภาคเหนือ,วิทยาลัยการอาชีพ,111,7,,แม่สะเรียง-แม่สอด,แม่สะเรียง,แม่สะเรียง,แม่ฮ่องสอน,58110,53681576,18.105771,97.93752,http://www.msr.ac.th
272,1360016101,วิทยาลัยเทคนิคนครสวรรค์,นครสวรรค์,ภาคเหนือ,วิทยาลัยเทคนิค,400,9,,สวรรค์วิถี,นครสวรรค์ตก,เมืองนครสวรรค์,นครสวรรค์,60000,56221390,15.6921247,100.1164814,http://www.nkstec.ac.th
273,1360016201,วิทยาลัยอาชีวศึกษานครสวรรค์,นครสวรรค์,ภาคเหนือ,วิทยาลัยอาชีวศึกษา,193,,,มาตุลี,ปากน้ำโพ,เมืองนครสวรรค์,นครสวรรค์,60000,56221360,15.710869,100.12944,http://www.nwvoc.ac.th
274,1360016301,วิทยาลัยเกษตรและเทคโนโลยีนครสวรรค์,นครสวรรค์,ภาคเหนือ,วิทยาลัยเกษตรและเทคโนโลยี,184,9,,นครสวรรค์-พิษณุโลก,บ้านมะเกลือ,เมืองนครสวรรค์,นครสวรรค์,60000,56276216,15.7930896,100.1251938,http://www.nscat.ac.th
275,1360016401,วิทยาลัยการอาชีพนครสวรรค์,นครสวรรค์,ภาคเหนือ,วิทยาลัยการอาชีพ,155/1,1,,,นครสวรรค์ออก,เมืองนครสวรรค์,นครสวรรค์,60000,0-56255347,15.663665,100.130824,http://www.nice.ac.th
276,1360056401,วิทยาลัยการอาชีพบรรพตพิสัย,นครสวรรค์,ภาคเหนือ,วิทยาลัยการอาชีพ,99,2,,นครสวรรค์-บรรพตพิสัย,บางตาหงาย,บรรพตพิสัย,นครสวรรค์,60180,056-009536,15.935668,99.99193,http://www.bice.ac.th
277,1360126601,วิทยาลัยการอาชีพตากฟ้า,นครสวรรค์,ภาคเหนือ,วิทยาลัยการอาชีพ,6-ม.ค.,1,,ตากฟ้า-ท่าตะโก,ตากฟ้า,ตากฟ้า,นครสวรรค์,60190,056-241906,15.351185,100.493127,http://www.tftmc.ac.th
278,1360136101,วิทยาลัยเทคนิคแม่วงก์,นครสวรรค์,ภาคเหนือ,วิทยาลัยเทคนิค,10-ม.ค.,10,,เขาชนกัน-ลานสัก,วังซ่าน,แม่วงก์,นครสวรรค์,60150,864175734,15.820884,99.500058,http://www.mwtech.ac.th
279,1361016101,วิทยาลัยเทคนิคอุทัยธานี,อุทัยธานี,ภาคเหนือ,วิทยาลัยเทคนิค,58,,,วงศาโรจน์,อุทัยใหม่,เมืองอุทัยธานี,อุทัยธานี,61000,946160005,15.367502,100.045268,http://www.uthai.ac.th
280,1361016301,วิทยาลัยเกษตรและเทคโนโลยีอุทัยธานี,อุทัยธานี,ภาคเหนือ,วิทยาลัยเกษตรและเทคโนโลยี,27  หมู่ 5,,,อุทัยธานี-ทัพทัน,หนองแก,เมืองอุทัยธานี,อุทัยธานี,61000,0-56982621,15.43156516,99.98262948,http://www.utac.ac.th
281,1361016501,วิทยาลัยสารพัดช่างอุทัยธานี,อุทัยธานี,ภาคเหนือ,วิทยาลัยสารพัดช่าง,45,3,,อุทัย-หนองฉาง,น้ำซึม,เมืองอุทัยธานี,อุทัยธานี,61000,56970097,15.349444,100.004784,http://www.uthaipoly.ac.th
282,1362016101,วิทยาลัยเทคนิคกำแพงเพชร,กำแพงเพชร,ภาคเหนือ,วิทยาลัยเทคนิค,50,,,ปิ่นดำริห์,ในเมือง,เมืองกำแพงเพชร,กำแพงเพชร,62000,055-711-090,16.4844981,99.5269475,http://www.kpt.ac.th
283,1362016301,วิทยาลัยเกษตรและเทคโนโลยีกำแพงเพชร,กำแพงเพชร,ภาคเหนือ,วิทยาลัยเกษตรและเทคโนโลยี,104,7,,กำแพงเพชร-พิจิตร,นิคมทุ่งโพธิ์ทะเล,เมืองกำแพงเพชร,กำแพงเพชร,62000,055-741660,16.491176,99.7131257,http://www.kpcat.ac.th
284,1362016501,วิทยาลัยสารพัดช่างกำแพงเพชร,กำแพงเพชร,ภาคเหนือ,วิทยาลัยสารพัดช่าง,1-ก.พ.,1,,,หนองปลิง,เมืองกำแพงเพชร,กำแพงเพชร,62000,055-841-823,16.50532228,99.49852841,http://www.kpp.ac.th
285,1362046401,วิทยาลัยการอาชีพขาณุวรลักษบุรี,กำแพงเพชร,ภาคเหนือ,วิทยาลัยการอาชีพ,49,5,,,ป่าพุทรา,ขาณุวรลักษบุรี,กำแพงเพชร,62130,055-779478,16.1074212,99.8968373,http://www.khanu.ac.th
286,1363016301,วิทยาลัยเกษตรและเทคโนโลยีตาก,ตาก,ภาคเหนือ,วิทยาลัยเกษตรและเทคโนโลยี,208,3,,พหลโยธิน,ประดาง,วังเจ้า,ตาก,63180,055-896567-8,16.754849,99.201884,http://www.kasettak.ac.th
287,1363016501,วิทยาลัยเทคนิคตาก,ตาก,ภาคเหนือ,วิทยาลัยเทคนิค,195,3,,เจดีย์ยุทธหัตถี,ป่ามะม่วง,เมืองตาก,ตาก,63000,55514231,16.8838412,99.1117428,http://www.taktc.ac.th
288,1363026401,วิทยาลัยการอาชีพบ้านตาก,ตาก,ภาคเหนือ,วิทยาลัยการอาชีพ,116,4,,พหลโยธิน,ตากออก,บ้านตาก,ตาก,63120,055-591426,17.0397984,99.0853423,http://www.bantak.ac.th
289,1363066401,วิทยาลัยเทคนิคแม่สอด,ตาก,ภาคเหนือ,วิทยาลัยเทคนิค,619,10,,แม่สอด-แม่ปะใต้,แม่ปะ,แม่สอด,ตาก,63110,0-55532644,16.7374793,98.5671237,https://www.maesod.ac.th
290,1364016101,วิทยาลัยเทคนิคสุโขทัย,สุโขทัย,ภาคเหนือ,วิทยาลัยเทคนิค,2-เม.ย.,5,,จรดวิถีถ่อง,บ้านกล้วย,เมืองสุโขทัย,สุโขทัย,64000,55611201,17.0111146,99.7896981,http://www.Sukhothaitc.ac.th
291,1364016201,วิทยาลัยอาชีวศึกษาสุโขทัย,สุโขทัย,ภาคเหนือ,วิทยาลัยอาชีวศึกษา,108,1,,สิงหวัฒน์,ธานี,เมืองสุโขทัย,สุโขทัย,64000,55611789,17.008169,99.827516,http://www.stvc.ac.th
292,1364016501,วิทยาลัยสารพัดช่างสุโขทัย,สุโขทัย,ภาคเหนือ,วิทยาลัยสารพัดช่าง,11,13,,จรดวิถีถ่อง,บ้านกล้วย,เมืองสุโขทัย,สุโขทัย,64000,55613341,17.007709,99.7972727,http://www.sukhothai-pc.ac.th
293,1364056401,วิทยาลัยการอาชีพศรีสัชนาลัย,สุโขทัย,ภาคเหนือ,วิทยาลัยการอาชีพ,362,3,,พัฒนาการ,สารจิตร,ศรีสัชนาลัย,สุโขทัย,64130,0-5567-5123,17.463091,99.732256,http://www.siec.ac.th
294,1364066401,วิทยาลัยการอาชีพศรีสำโรง,สุโขทัย,ภาคเหนือ,วิทยาลัยการอาชีพ,9,11,,ศรีสำโรง-ศรีนคร,สามเรือน,ศรีสำโรง,สุโขทัย,64120,055-683006,17.1898638,99.9106469,http://www.sie.ac.th
295,1364076301,วิทยาลัยเกษตรและเทคโนโลยีสุโขทัย,สุโขทัย,ภาคเหนือ,วิทยาลัยเกษตรและเทคโนโลยี,16,7,,ไม่มี,ย่านยาว,สวรรคโลก,สุโขทัย,64110,55911076,17.284242,99.867112,http://www.stcat.ac.th
296,1365016101,วิทยาลัยเทคนิคพิษณุโลก,พิษณุโลก,ภาคเหนือ,วิทยาลัยเทคนิค,2,,,สนามบิน,ในเมือง,เมืองพิษณุโลก,พิษณุโลก,65000,55302029,16.811884,100.271159,http://www.pltc.ac.th
297,1365016102,วิทยาลัยเทคนิคสองแคว,พิษณุโลก,ภาคเหนือ,วิทยาลัยเทคนิค,149,2,,เลี่ยงเมืองพิษณุโลก,ท่าโพธิ์,เมืองพิษณุโลก,พิษณุโลก,65000,095-640-0956,16.7611153,100.2406433,http://www.sktcpl.ac.th
298,1365016201,วิทยาลัยอาชีวศึกษาพิษณุโลก,พิษณุโลก,ภาคเหนือ,วิทยาลัยอาชีวศึกษา,60,1,,วังจันทน์,ในเมือง,เมืองพิษณุโลก,พิษณุโลก,65000,55258570,16.8213387,100.256619,http://www.plvc.ac.th
299,1365016202,วิทยาลัยพณิชยการบึงพระพิษณุโลก,พิษณุโลก,ภาคเหนือ,วิทยาลัยพณิชยการ,410,1,,บึงพระ-พิษณุโลก,บึงพระ,เมืองพิษณุโลก,พิษณุโลก,65000,55337551,16.765725,100.26277,http://www.bpcc.ac.th
300,1365016501,วิทยาลัยสารพัดช่างพิษณุโลก,พิษณุโลก,ภาคเหนือ,วิทยาลัยสารพัดช่าง,99 หมู่ 1,1,,ปราบไตรจักร,บ้านคลอง,เมืองพิษณุโลก,พิษณุโลก,65000,55252034,16.834849,100.252315,http://www.plkpoly.ac.th
301,1365026401,วิทยาลัยการอาชีพนครไทย,พิษณุโลก,ภาคเหนือ,วิทยาลัยการอาชีพ,179,3,,,เนินเพิ่ม,นครไทย,พิษณุโลก,65120,055-363-095,17.10896302,100.8704777,http://www.ntic.ac.th
302,1366016101,วิทยาลัยเทคนิคพิจิตร,พิจิตร,ภาคเหนือ,วิทยาลัยเทคนิค,33,,,พิจิตร-กำแพงเพชร,ในเมือง,เมืองพิจิตร,พิจิตร,66000,056 608 572,16.4483124,100.3228194,http://www.pjtc.ac.th
303,1366016501,วิทยาลัยอาชีวศึกษาพิจิตร,พิจิตร,ภาคเหนือ,วิทยาลัยอาชีวศึกษา,316,,,บุษบา,ในเมือง,เมืองพิจิตร,พิจิตร,66000,56613481,16.4394823,100.3544111,http://www.ppc.ac.th/pijit
304,1366076301,วิทยาลัยเกษตรและเทคโนโลยีพิจิตร,พิจิตร,ภาคเหนือ,วิทยาลัยเกษตรและเทคโนโลยี,94 หมู่ 6,6,,พิจิตร-กำแพงเพชร,สามง่าม,สามง่าม,พิจิตร,66140,56691151,16.5011661,100.2125756,http://www.pccat.ac.th
305,1367016101,วิทยาลัยเทคนิคเพชรบูรณ์,เพชรบูรณ์,ภาคเหนือ,วิทยาลัยเทคนิค,212,,,สระบุรี-หล่มสัก,ในเมือง,เมืองเพชรบูรณ์,เพชรบูรณ์,67000,056-711-455,16.435663,101.154664,http://www.pbntc.ac.th
306,1367016301,วิทยาลัยเกษตรและเทคโนโลยีเพชรบูรณ์,เพชรบูรณ์,ภาคเหนือ,วิทยาลัยเกษตรและเทคโนโลยี,157 ม.5,5,,สระบุรี-หล่มสัก,บุ่งคล้า,หล่มสัก,เพชรบูรณ์,67110,0-56705638,16.632681,101.185595,http://www.pbcat.ac.th
307,1367016501,วิทยาลัยสารพัดช่างเพชรบูรณ์,เพชรบูรณ์,ภาคเหนือ,วิทยาลัยสารพัดช่าง,60,,,ถนนนิกรบำรุง,ในเมือง,เมืองเพชรบูรณ์,เพชรบูรณ์,67000,56720395,16.4208544,101.1563634,http://www.polyphet.ac.th
308,1367026401,วิทยาลัยการอาชีพชนแดน,เพชรบูรณ์,ภาคเหนือ,วิทยาลัยการอาชีพ,115/3,13,,ชมฐีรเวช,ชนแดน,ชนแดน,เพชรบูรณ์,67150,56761552,16.180391,100.899451,http://www.cice.ac.th
309,1367056401,วิทยาลัยการอาชีพวิเชียรบุรี,เพชรบูรณ์,ภาคเหนือ,วิทยาลัยการอาชีพ,100,5,,,สระประดู่,วิเชียรบุรี,เพชรบูรณ์,67130,56753049,15.6231267,101.0648857,http://www.wicec.ac.th
310,1370016101,วิทยาลัยเทคนิคราชบุรี,ราชบุรี,ภาคกลาง,วิทยาลัยเทคนิค,433,,,ศรีสุริยวงศ์,หน้าเมือง,เมืองราชบุรี,ราชบุรี,70000,032-338544,13.53285312,99.80805395,http://www.rtc.ac.th
311,1370016501,วิทยาลัยสารพัดช่างราชบุรี,ราชบุรี,ภาคกลาง,วิทยาลัยสารพัดช่าง,1,,,มนตรีสุริยวงศ์,หน้าเมือง,เมืองราชบุรี,ราชบุรี,70000,032-321903,13.539008,99.825355,http://www.rptc.ac.th
312,1370056101,วิทยาลัยเทคนิคราชบุรี 2,ราชบุรี,ภาคกลาง,วิทยาลัยเทคนิค,12,2,,,คุ้งพยอม,บ้านโป่ง,ราชบุรี,70110,32297119,13.784689,99.841659,http://rtech2.ac.th
313,1370056401,วิทยาลัยการอาชีพบ้านโป่ง,ราชบุรี,ภาคกลาง,วิทยาลัยการอาชีพ,98,3,,,ลาดบัวขาว,บ้านโป่ง,ราชบุรี,70110,032-720351,13.833835,99.828349,http://www.bpg.ac.th
314,1370076101,วิทยาลัยเทคนิคโพธาราม,ราชบุรี,ภาคกลาง,วิทยาลัยเทคนิค,56/1,3,,เพชรเกษม(สายเก่า),บ้านฆ้อง,โพธาราม,ราชบุรี,70120,032-231313,13.6909035,99.8697968,http://www.photharam.ac.th
315,1370076301,วิทยาลัยเกษตรและเทคโนโลยีราชบุรี,ราชบุรี,ภาคกลาง,วิทยาลัยเกษตรและเทคโนโลยี,63/1,7,,,เขาชะงุ้ม,โพธาราม,ราชบุรี,70120,32740039,13.734776,99.7250335,http://www.rbcat.ac.th
316,1370086401,วิทยาลัยการอาชีพปากท่อ,ราชบุรี,ภาคกลาง,วิทยาลัยการอาชีพ,153,14,ทุ่งหลวง 36,หินสี,ทุ่งหลวง,ปากท่อ,ราชบุรี,70140,32240865,13.3842496,99.6784414,http://www.ptcc.ac.th
317,1371016101,วิทยาลัยเทคนิคกาญจนบุรี,กาญจนบุรี,ภาคกลาง,วิทยาลัยเทคนิค,361,1,ไม่มี,อู่ทอง,ปากแพรก,เมืองกาญจนบุรี,กาญจนบุรี,71000,34511176,14.02874453,99.54837427,http://www.technickan.ac.th
318,1371016201,วิทยาลัยอาชีวศึกษากาญจนบุรี,กาญจนบุรี,ภาคกลาง,วิทยาลัยอาชีวศึกษา,7,,,แสงชูโต,บ้านเหนือ,เมืองกาญจนบุรี,กาญจนบุรี,71000,34511124,14.026317,99.530964,http://www.kanvc.ac.th
319,1371016301,วิทยาลัยเกษตรและเทคโนโลยีกาญจนบุรี,กาญจนบุรี,ภาคกลาง,วิทยาลัยเกษตรและเทคโนโลยี,1,5,,ลิ้นช้าง-บ้านเก่า,หนองหญ้า,เมืองกาญจนบุรี,กาญจนบุรี,71000,034 552 106 - 7,13.9908858,99.4640893,http://www.kasetkan.ac.th
320,1371016501,วิทยาลัยการอาชีพแม่น้ำแคว,กาญจนบุรี,ภาคกลาง,วิทยาลัยการอาชีพ,179,1,,แสงชูโต,ท่ามะขาม,เมืองกาญจนบุรี,กาญจนบุรี,71000,064 856 2239,14.053279,99.503542,https://www.maenamkwai.ac.th/kan/
321,1371066401,วิทยาลัยการอาชีพกาญจนบุรี,กาญจนบุรี,ภาคกลาง,วิทยาลัยการอาชีพ,296,2,,แสงชูโต,วังขนาย,ท่าม่วง,กาญจนบุรี,71110,034-611792,13.95193381,99.65262552,http://www.kicec.ac.th
322,1371076401,วิทยาลัยการอาชีพทองผาภูมิ,กาญจนบุรี,ภาคกลาง,วิทยาลัยการอาชีพ,,3,,,ท่าขนุน,ทองผาภูมิ,กาญจนบุรี,71000,0-3451-1176,14.680533,98.672282,http://www.technickan.ac.th
323,1371096401,วิทยาลัยการอาชีพพนมทวน,กาญจนบุรี,ภาคกลาง,วิทยาลัยการอาชีพ,240,2,,,หนองโรง,พนมทวน,กาญจนบุรี,71140,034-579597,14.1199,99.6758,http://www.pnt.ac.th/
324,1372016101,วิทยาลัยเทคนิคสุพรรณบุรี,สุพรรณบุรี,ภาคกลาง,วิทยาลัยเทคนิค,74,,,ขุนช้าง,ท่าพี่เลี้ยง,เมืองสุพรรณบุรี,สุพรรณบุรี,72000,35522101,14.471978,100.112958,http://www.stc.ac.th
325,1372016201,วิทยาลัยอาชีวศึกษาสุพรรณบุรี,สุพรรณบุรี,ภาคกลาง,วิทยาลัยอาชีวศึกษา,279,,,พระพันวษา,ท่าพี่เลี้ยง,เมืองสุพรรณบุรี,สุพรรณบุรี,72000,35511355,14.4686297,100.1167469,http://www.spvc.ac.th
326,1372016501,วิทยาลัยสารพัดช่างบรรหาร-แจ่มใส,สุพรรณบุรี,ภาคกลาง,วิทยาลัยสารพัดช่าง,166/1,1,,มาลัยแมน,รั้วใหญ่,เมืองสุพรรณบุรี,สุพรรณบุรี,72000,035-511880,14.4751567,100.1000208,http://www.bunharnpoly.ac.th
327,1372036301,วิทยาลัยเกษตรและเทคโนโลยีสุพรรณบุรี,สุพรรณบุรี,ภาคกลาง,วิทยาลัยเกษตรและเทคโนโลยี,288,1,,อู่ทอง-บ้านไร่,ด่านช้าง,ด่านช้าง,สุพรรณบุรี,72180,35595056,14.826426,99.69924,http://www.spcat.ac.th
328,1372076401,วิทยาลัยการอาชีพสองพี่น้อง,สุพรรณบุรี,ภาคกลาง,วิทยาลัยการอาชีพ,198,6,,,บางพลับ,สองพี่น้อง,สุพรรณบุรี,72110,035-440479,14.245056,100.04683,http://www.sicec.ac.th
329,1372096401,วิทยาลัยการอาชีพอู่ทอง,สุพรรณบุรี,ภาคกลาง,วิทยาลัยการอาชีพ,25,10,,อู่ทอง-บ้านไร่,หนองโอ่ง,อู่ทอง,สุพรรณบุรี,72160,035-528335,14.425485,99.906118,http://www.uic.ac.th
330,1373016101,วิทยาลัยเทคนิคนครปฐม,นครปฐม,ภาคตะวันออกและกรุงเทพมหานคร,วิทยาลัยเทคนิค,2,,,เพชรเกษม,พระประโทน,เมืองนครปฐม,นครปฐม,73000,034-395093-5,13.81419157,100.0996649,https://www.nptc.ac.th/
331,1373016201,วิทยาลัยอาชีวศึกษานครปฐม,นครปฐม,ภาคตะวันออกและกรุงเทพมหานคร,วิทยาลัยอาชีวศึกษา,90,,,เทศา,พระปฐมเจดีย์,เมืองนครปฐม,นครปฐม,73000,034-252790,13.8196612,100.0696617,http://www.nc.ac.th
332,1373016501,วิทยาลัยสารพัดช่างนครปฐม,นครปฐม,ภาคตะวันออกและกรุงเทพมหานคร,วิทยาลัยสารพัดช่าง,255,3,,เพชรเกษม,หนองดินแดง,เมืองนครปฐม,นครปฐม,73000,34985205,13.79488,99.991982,http://www.nptpolytech.ac.th
333,1373036401,วิทยาลัยการอาชีพบางแก้วฟ้า (หลวงพ่อเปิ่นอุปถัมภ์),นครปฐม,ภาคตะวันออกและกรุงเทพมหานคร,วิทยาลัยการอาชีพ,18,2,,,บางแก้วฟ้า,นครชัยศรี,นครปฐม,73120,34277081,13.90202,100.213092,http://www.bkf.ac.th
334,1373066401,วิทยาลัยการอาชีพนครปฐม,นครปฐม,ภาคตะวันออกและกรุงเทพมหานคร,วิทยาลัยการอาชีพ,58,2,,,ไร่ขิง,สามพราน,นครปฐม,73210,34321284,13.736375,100.258923,http://www.npt.ac.th
335,1373076401,วิทยาลัยการอาชีพพุทธมณฑล,นครปฐม,ภาคตะวันออกและกรุงเทพมหานคร,วิทยาลัยการอาชีพ,99,5,,ประชาอุทิศ,คลองโยง,พุทธมณฑล,นครปฐม,73170,034-300165,13.8493805,100.2958221,http://www.biac.ac.th
336,1374016101,วิทยาลัยเทคนิคสมุทรสาคร,สมุทรสาคร,ภาคกลาง,วิทยาลัยเทคนิค,927,,,เศรษฐกิจ1,มหาชัย,เมืองสมุทรสาคร,สมุทรสาคร,74000,034-411248,13.32559,100.1626,http://www.skntc.ac.th
337,1374026301,วิทยาลัยประมงสมุทรสาคร,สมุทรสาคร,ภาคกลาง,วิทยาลัยประมง,1-ก.พ.,1,,ท่าเสาพัฒนา,ดอนไก่ดี,กระทุ่มแบน,สมุทรสาคร,74110,34471239,13.6411599,100.2565845,http://www.skfc.ac.th
338,1374036401,วิทยาลัยการอาชีพบ้านแพ้ว,สมุทรสาคร,ภาคกลาง,วิทยาลัยการอาชีพ,1-ม.ค.,3,,บ้านแพ้ว-หนองนกไข่,เจ็ดริ้ว,บ้านแพ้ว,สมุทรสาคร,74120,034-481817,13.6431501,100.1374198,https://bpicec.ac.th/
339,1375016101,วิทยาลัยเทคนิคสมุทรสงคราม,สมุทรสงคราม,ภาคกลาง,วิทยาลัยเทคนิค,89,12,,เอกชัย,ลาดใหญ่,เมืองสมุทรสงคราม,สมุทรสงคราม,75000,34711440,13.420658,100.0100724,http://www.sstc.ac.th
340,1375016501,วิทยาลัยสารพัดช่างสมุทรสงคราม,สมุทรสงคราม,ภาคกลาง,วิทยาลัยสารพัดช่าง,122,12,,เอกชัย,ลาดใหญ่,เมืองสมุทรสงคราม,สมุทรสงคราม,75000,34716343,13.422689,100.013973,http://www.ssptc.ac.th
341,1375036401,วิทยาลัยการอาชีพอัมพวา,สมุทรสงคราม,ภาคกลาง,วิทยาลัยการอาชีพ,1-ม.ค.,6,,พระราม2,แพรกหนามแดง,อัมพวา,สมุทรสงคราม,75110,34772098,13.341815,99.888929,https://www.ampawa.ac.th
342,1376016101,วิทยาลัยเทคนิคเพชรบุรี,เพชรบุรี,ภาคกลาง,วิทยาลัยเทคนิค,115,,,บริพัตร,ท่าราบ,เมืองเพชรบุรี,เพชรบุรี,76000,32425705,13.0916486,99.9501821,http://www.pbtc.ac.th
343,1376016201,วิทยาลัยอาชีวศึกษาเพชรบุรี,เพชรบุรี,ภาคกลาง,วิทยาลัยอาชีวศึกษา,300,,,ราชวิถี,คลองกระแชง,เมืองเพชรบุรี,เพชรบุรี,76000,032-425557,13.111134,99.942321,http://www.pbpvc.ac.th
344,1376016501,วิทยาลัยสารพัดช่างเพชรบุรี,เพชรบุรี,ภาคกลาง,วิทยาลัยสารพัดช่าง,93,9,,บันไดอิฐ,ไร่ส้ม,เมืองเพชรบุรี,เพชรบุรี,76000,032-488058,12.9849,99.971703,http://www.phetpoly.ac.th
345,1376026401,วิทยาลัยการอาชีพเขาย้อย,เพชรบุรี,ภาคกลาง,วิทยาลัยการอาชีพ,106,5,,หนองชุมพล,หนองชุมพล,เขาย้อย,เพชรบุรี,76140,032-795-053,13.2824142,99.7709,http://www.kycec.ac.th
346,1376046301,วิทยาลัยเกษตรและเทคโนโลยีเพชรบุรี,เพชรบุรี,ภาคกลาง,วิทยาลัยเกษตรและเทคโนโลยี,59,3,,,สามพระยา,ชะอำ,เพชรบุรี,76120,32772855,12.6380859,99.8786851,http://www.pkaset.ac.th
347,1376046601,วิทยาลัยการอาชีพวังไกลกังวล 2,เพชรบุรี,ภาคกลาง,วิทยาลัยการอาชีพ,62,6,,,เขาใหญ่,ชะอำ,เพชรบุรี,76120,032-899931,12.8491476,99.9214221,http://www.kkwtech.ac.th
348,1376066401,วิทยาลัยการอาชีพบ้านลาด,เพชรบุรี,ภาคกลาง,วิทยาลัยการอาชีพ,106,9,,,ท่าเสน,บ้านลาด,เพชรบุรี,76150,032-586488,13.0441735,99.9525739,http://www.bicec.ac.th
349,1377016101,วิทยาลัยเทคนิคประจวบคีรีขันธ์,ประจวบคีรีขันธ์,ภาคกลาง,วิทยาลัยเทคนิค,302,,,สละชีพ,ประจวบคีรีขันธ์,เมืองประจวบคีรีขันธ์,ประจวบคีรีขันธ์,77000,032-611130,11.47594,99.475259,http://www.pktc.ac.th
350,1377046401,วิทยาลัยการอาชีพบางสะพาน,ประจวบคีรีขันธ์,ภาคกลาง,วิทยาลัยการอาชีพ,101,1,,เพชรเกษม,ทองมงคล,บางสะพาน,ประจวบคีรีขันธ์,77230,32697062,11.232646,99.438914,http://www.bspc.ac.th
351,1377066401,วิทยาลัยการอาชีพปราณบุรี,ประจวบคีรีขันธ์,ภาคกลาง,วิทยาลัยการอาชีพ,99,7,,ทางหลวงชนบทประจวบคีรีขันธ์2003,ปราณบุรี,ปราณบุรี,ประจวบคีรีขันธ์,77120,32623056,12.3381788,99.9438474,http://www.pranicec.ac.th
352,1377076401,วิทยาลัยการอาชีพวังไกลกังวล,ประจวบคีรีขันธ์,ภาคกลาง,วิทยาลัยการอาชีพ,มี.ค.-64,,หัวหิน 35,เพชรเกษม,หัวหิน,หัวหิน,ประจวบคีรีขันธ์,77110,032-520481,12.5924271,99.9512257,http://www.kkwind.ac.th
353,1380016101,วิทยาลัยเทคนิคนครศรีธรรมราช,นครศรีธรรมราช,ภาคใต้,วิทยาลัยเทคนิค,263,,,ราชดำเนิน,ท่าวัง,เมืองนครศรีธรรมราช,นครศรีธรรมราช,80000,075 356 062,8.45367,99.96101,http://www.tnk.ac.th
354,1380016201,วิทยาลัยอาชีวศึกษานครศรีธรรมราช,นครศรีธรรมราช,ภาคใต้,วิทยาลัยอาชีวศึกษา,1076,,,ราชดำเนิน,คลัง,เมืองนครศรีธรรมราช,นครศรีธรรมราช,80000,75356156,8.4354935,99.9622767,http://www.nvc.ac.th
355,1380016202,วิทยาลัยศิลปหัตถกรรมนครศรีธรรมราช,นครศรีธรรมราช,ภาคใต้,วิทยาลัยศิลปหัตถกรรม,6,1,หอไตร,ราชดำเนิน,ในเมือง,เมืองนครศรีธรรมราช,นครศรีธรรมราช,80000,75846007,8.4057778,99.9694008,http://www.artnst.ac.th
356,1380016501,วิทยาลัยสารพัดช่างนครศรีธรรมราช,นครศรีธรรมราช,ภาคใต้,วิทยาลัยสารพัดช่าง,214,1,,อ้อมค่ายวชิราวุธ,ปากพูน,เมืองนครศรีธรรมราช,นครศรีธรรมราช,80000,075-531500,8.509845,99.961576,http://www.nkpc.ac.th/
357,1380026401,วิทยาลัยการอาชีพพรหมคีรี,นครศรีธรรมราช,ภาคใต้,วิทยาลัยการอาชีพ,65/1,7,,ถ.วัดใหม่-คลองเมียด,ทอนหงส์,พรหมคีรี,นครศรีธรรมราช,80320,075-750577,8.568648,99.7790227,http://www.promic.ac.th
358,1380096101,วิทยาลัยเทคนิคทุ่งสง,นครศรีธรรมราช,ภาคใต้,วิทยาลัยเทคนิค,119,7,,ทุ่งสง-สุราษฎร์ธานี,หนองหงส์,ทุ่งสง,นครศรีธรรมราช,80110,75302027,8.1751454,99.6261903,http://www.ts-tech.ac.th
359,1380126101,วิทยาลัยเทคโนโลยีและอุตสาหกรรมการต่อเรือนครศรีธรรมราช,นครศรีธรรมราช,ภาคใต้,วิทยาลัยเทคโนโลยีและอุตสาหกรรมการต่อเรือ,147,4,,ท่าเทียบเรือ,ปากพนังฝั่งตะวันตก,ปากพนัง,นครศรีธรรมราช,80370,075 370 759,8.36408238,100.1708214,http://www.nasic.ac.th
360,1380146101,วิทยาลัยเทคนิคสิชล,นครศรีธรรมราช,ภาคใต้,วิทยาลัยเทคนิค,44,5,,นครศรี-สุราษฎร์,ทุ่งปรัง,สิชล,นครศรีธรรมราช,80120,075-367891,8.9523476,99.8975369,http://www.sichontc.ac.th
361,1380166401,วิทยาลัยการอาชีพหัวไทร,นครศรีธรรมราช,ภาคใต้,วิทยาลัยการอาชีพ,88,2,,,ทรายขาว,หัวไทร,นครศรีธรรมราช,80170,75766525,8.0514911,100.2227457,http://www.hicc.ac.th
